Week,Workstream,PrimaryDeliverable,Dependencies,AcceptanceCriteria,Phase
1,Discovery and governance baseline,Confirmed assumptions risks and source contracts,Stakeholder availability,Scope and assumptions signed off,MVP
2,Foundation and security baseline,Environment setup IAM network CI/CD skeleton,Cloud landing zone,Security and deployment controls validated,MVP
3,Ingestion sprint CRM ERP,CRM and ERP bronze incremental pipelines,Source API access and credentials,Freshness and load completion within target window,MVP
4,Ingestion sprint Cosmos SaaS OnPrem,Cosmos SaaS and on-prem ingestion enabled,Gateway path and API quotas,End-to-end load with retry and replay tested,MVP
5,Conformance and quality,Silver conformance dedup and quality gates,Data contracts and quality rules,Quality threshold achieved for critical domains,MVP
6,Value milestone,Gold marts plus first executive and analyst dashboards,Business KPI definitions,Week-6 business value accepted by stakeholders,MVP
7,Semantic governance,Certified KPI semantic model v1,Data stewardship workflow,KPI certification and lineage signoff,Phase2
8,Qlik and AI governed access,Qlik governed endpoints and AI semantic access path,Identity propagation and policy mapping,Access restrictions verified end-to-end,Phase2
9,Security hardening and audit,Masking RLS CLS and compliance evidence pack,Security policy completion,Pentest checks and audit evidence complete,Phase2
10,Performance and SLA rehearsal,08:00 SLA simulation and optimization,Representative production-like workload,SLA met in repeated rehearsal runs,Phase2
11,DR and ops readiness,Backup restore drills runbooks and incident workflow,Monitoring and backup configuration,RPO and RTO test targets met,Phase2
12,Cutover and handover,Production cutover hypercare and ownership transfer,Business readiness and approvals,Go-live accepted and operations transitioned,Phase2
