RequirementID,Category,Requirement,BusinessDriver,ArchitecturalImpact,SecurityImpact,OperationalImpact,SuggestedSolutionPattern,Priority,ValidationMethod,Status
BR-001,Business,Unify Customer-Opportunity-Document hierarchy,End-to-end lifecycle visibility,Canonical model and conformed dimensions,Consistent identity boundaries,Clear ownership and lineage,Canonical data model with conformed keys,Critical,Model conformance tests,Planned
BR-002,Business,Support 300 BI users with 30 heavy concurrent analysts,Business reporting at scale,Curated Gold marts and workload isolation,Least privilege role model,Capacity and concurrency controls,Star schema and certified semantic model,Critical,Load and concurrency tests,Planned
BR-003,Business,Enable AI assistant for governed business/document queries,Faster decision support,Permission-aware semantic retrieval path,Identity-propagated query enforcement,AI telemetry and fallback handling,Semantic access broker with grounding,Critical,Grounded answer validation tests,Planned
BR-004,Business,Minimize storage and processing costs,Budget control,Tiered storage and incremental processing,Cost controls for sensitive workloads,FinOps governance cadence,Partitioning lifecycle and autoscale windows,Critical,Monthly budget variance reports,Planned
BR-005,Business,Support both Power BI and Qlik,Avoid tool disruption,Shared metric contract and endpoint strategy,Unified access policy model,Certification workflow,Central semantic contract,High,KPI consistency tests across tools,Planned
BR-006,Business,Ensure small team maintainability,Sustainable operations,Managed services and low-friction ops,Fewer privileged manual operations,Runbooks and automation,Managed platform + IaC + CI/CD,High,Operational readiness checklist,Planned
FR-001,Functional,Ingest Dynamics 365 CRM,Customer/opportunity flow,Connector-based incremental ingestion,OAuth/token security,Retries and watermarking,Incremental API ingestion,High,Ingestion freshness SLA checks,Planned
FR-002,Functional,Ingest Business Central ERP,Financial integrity,Delta ingestion and reconciliation,Finance-domain access controls,Batch window coordination,CDC or delta batch,High,Reconciliation controls,Planned
FR-003,Functional,Ingest CosmosDB summaries,Document intelligence,Schema-evolving semi-structured ingestion,Summary-level data controls,Schema drift monitoring,JSON bronze typed silver projection,High,Schema drift alerting,Planned
FR-004,Functional,Ingest on-prem SQL with no internet,Legacy continuity,Hybrid ingress path,Private networking and secret isolation,Backfill and replay strategy,Gateway with staged CDC export,Critical,Recovery replay tests,Planned
FR-005,Functional,Ingest external SaaS API,Marketing attribution,Rate-limited API ingestion,API key governance,Idempotent retries and DLQ,Micro-batch API pattern,High,DLQ and retry metrics,Planned
FR-006,Functional,Critical reports ready by 08:00,Business SLA,SLA-aware orchestration DAG,Controlled release windows,SLA alerting and incident playbook,Critical-path orchestration,Critical,Daily SLA attainment report,Planned
FR-007,Functional,Near-real-time for selected data,Operational freshness,Dual latency profiles,Frequent refresh access control,Higher observability and capacity needs,Micro-batch pipelines,High,Freshness lag dashboards,Planned
FR-008,Functional,AI: total credit exposure across opportunities,Portfolio risk insight,Unified exposure fact and dimensions,Role-filtered aggregation visibility,KPI and lineage checks,Governed metric definition,High,Metric reconciliation tests,Planned
FR-009,Functional,AI: opportunities missing documents,Compliance process quality,Completeness rules and exception model,Document-level entitlement controls,Data-quality queue handling,Rule-based quality gates,High,Rule pass/fail thresholds,Planned
FR-010,Functional,AI: summarize latest document,Decision speed,Deterministic latest-doc retrieval,Document scope restrictions,Low-latency retrieval and provenance,Latest-record pattern with lineage,High,Provenance correctness tests,Planned
NFR-001,NonFunctional,Keep cloud cost <= 25000 USD/month,Budget ceiling,Cost-bounded architecture choices,Cost anomaly visibility,Budget alarms and optimization cadence,FinOps guardrails,Critical,Budget threshold alerts,Planned
NFR-002,NonFunctional,Meet 08:00 reporting SLA,Operational continuity,Compute burst planning and precompute,Controlled refresh access,Incident and runbook readiness,Critical-path scheduling,Critical,SLA rehearsal runs,Planned
NFR-003,NonFunctional,Meet RPO/RTO by criticality,Resilience,Tiered backup and restore,Encrypted backup key mgmt,DR drills and escalation,Tiered DR architecture,Critical,DR test evidence,Planned
NFR-004,NonFunctional,Maintain full audit trail,Regulatory compliance,Central immutable logging,Tamper-evident audit controls,Searchable retention operations,Central audit and lineage logs,Critical,Audit evidence pack,Planned
NFR-005,NonFunctional,Separate DEV TEST PROD with CI/CD,Release governance,Promotion gates and config isolation,Segregation of duties,Rollback capable deployment,Multi-stage CI/CD,High,Promotion approval logs,Planned
NFR-006,NonFunctional,Handle growth from 5TB with +200GB monthly,Scalability,Partition and lifecycle design,Security tagging at scale,Compaction and archival lifecycle,Partitioning plus lifecycle policies,High,Storage growth trend analysis,Planned
SEC-001,Security,Protect PII and financial fields,Compliance and trust,CLS RLS masking and zoning,Least privilege and data minimization,Periodic access reviews,RBAC plus ABAC with masking,Critical,Access control test suite,Planned
GOV-001,Governance,Single governed KPI definitions,Cross-tool consistency,Shared semantic contract,Policy consistency across tools,KPI certification lifecycle,Certified semantic dataset,Critical,KPI parity checks,Planned
